"year","zone","domain","measure","value"
"2012","S01001790","Access To Services","Rank",1296
"2006","S01001790","Health","Rank",6337
"2009","S01001790","Employment","Rank",5833
"2012","S01001790","Health","Rank",5765
"2006","S01001790","SIMD","Rank",6093
"2006","S01001790","Crime","Rank",5758
"2004","S01001790","Employment","Rank",6422
"2012","S01001790","Crime","Rank",5975
"2004","S01001790","Access To Services","Rank",598
"2009","S01001790","Health","Rank",6123
"2012","S01001790","Income","Rank",6348
"2004","S01001790","Health","Rank",5709
"2004","S01001790","Income","Rank",6403
"2004","S01001790","SIMD","Rank",5806
"2012","S01001790","Education Skills And Training","Rank",5746
"2009","S01001790","Access To Services","Rank",1345
"2006","S01001790","Income","Rank",6004
"2012","S01001790","Employment","Rank",6004
"2006","S01001790","Housing","Rank",5824
"2012","S01001790","Housing","Rank",5824
"2006","S01001790","Employment","Rank",6380
"2009","S01001790","Crime","Rank",6456
"2006","S01001790","Access To Services","Rank",1226
"2009","S01001790","Education Skills And Training","Rank",5992
"2012","S01001790","SIMD","Rank",5976
"2004","S01001790","Education Skills And Training","Rank",6298
"2009","S01001790","SIMD","Rank",5960
"2009","S01001790","Income","Rank",6115
"2009","S01001790","Housing","Rank",5824
"2006","S01001790","Education Skills And Training","Rank",6318
"2004","S01001790","Housing","Rank",5824
"2006","S01001790","SIMD","Decile",10
"2012","S01001790","Education Skills And Training","Decile",9
"2004","S01001790","Access To Services","Decile",1
"2006","S01001790","Access To Services","Decile",2
"2012","S01001790","Crime","Decile",10
"2009","S01001790","SIMD","Decile",10
"2009","S01001790","Access To Services","Decile",3
"2009","S01001790","Crime","Decile",10
"2012","S01001790","Access To Services","Decile",2
"2006","S01001790","Crime","Decile",9
"2012","S01001790","Employment","Decile",10
"2004","S01001790","Employment","Decile",10
"2006","S01001790","Employment","Decile",10
"2012","S01001790","SIMD","Decile",10
"2004","S01001790","SIMD","Decile",9
"2009","S01001790","Employment","Decile",9
"2012","S01001790","Health","Decile",9
"2004","S01001790","Education Skills And Training","Decile",10
"2006","S01001790","Health","Decile",10
"2006","S01001790","Education Skills And Training","Decile",10
"2009","S01001790","Health","Decile",10
"2009","S01001790","Education Skills And Training","Decile",10
"2004","S01001790","Health","Decile",9
"2006","S01001790","Income","Decile",10
"2004","S01001790","Housing","Decile",9
"2012","S01001790","Housing","Decile",9
"2004","S01001790","Income","Decile",10
"2012","S01001790","Income","Decile",10
"2009","S01001790","Housing","Decile",9
"2006","S01001790","Housing","Decile",9
"2009","S01001790","Income","Decile",10
"2009","S01001790","Education Skills And Training","Vigintile",19
"2012","S01001790","Education Skills And Training","Vigintile",18
"2006","S01001790","Education Skills And Training","Vigintile",20
"2004","S01001790","Education Skills And Training","Vigintile",20
"2009","S01001790","Employment","Vigintile",18
"2004","S01001790","Employment","Vigintile",20
"2006","S01001790","Employment","Vigintile",20
"2012","S01001790","Employment","Vigintile",19
"2004","S01001790","Health","Vigintile",18
"2012","S01001790","Health","Vigintile",18
"2006","S01001790","Health","Vigintile",20
"2009","S01001790","Health","Vigintile",19
"2012","S01001790","Housing","Vigintile",18
"2004","S01001790","Housing","Vigintile",18
"2006","S01001790","Housing","Vigintile",18
"2009","S01001790","Housing","Vigintile",18
"2004","S01001790","Access To Services","Vigintile",2
"2006","S01001790","Access To Services","Vigintile",4
"2009","S01001790","Access To Services","Vigintile",5
"2012","S01001790","Access To Services","Vigintile",4
"2006","S01001790","Crime","Vigintile",18
"2012","S01001790","Crime","Vigintile",19
"2009","S01001790","Crime","Vigintile",20
"2009","S01001790","Income","Vigintile",19
"2006","S01001790","Income","Vigintile",19
"2012","S01001790","Income","Vigintile",20
"2004","S01001790","Income","Vigintile",20
"2012","S01001790","SIMD","Vigintile",19
"2006","S01001790","SIMD","Vigintile",19
"2004","S01001790","SIMD","Vigintile",18
"2009","S01001790","SIMD","Vigintile",19
"2012","S01001790","Housing","Quintile",5
"2004","S01001790","Employment","Quintile",5
"2009","S01001790","Income","Quintile",5
"2006","S01001790","Income","Quintile",5
"2012","S01001790","Income","Quintile",5
"2006","S01001790","Housing","Quintile",5
"2004","S01001790","Income","Quintile",5
"2009","S01001790","Housing","Quintile",5
"2006","S01001790","Health","Quintile",5
"2012","S01001790","Education Skills And Training","Quintile",5
"2004","S01001790","Health","Quintile",5
"2004","S01001790","Education Skills And Training","Quintile",5
"2009","S01001790","Education Skills And Training","Quintile",5
"2012","S01001790","Health","Quintile",5
"2009","S01001790","Health","Quintile",5
"2006","S01001790","Employment","Quintile",5
"2009","S01001790","SIMD","Quintile",5
"2006","S01001790","Education Skills And Training","Quintile",5
"2004","S01001790","SIMD","Quintile",5
"2009","S01001790","Employment","Quintile",5
"2006","S01001790","SIMD","Quintile",5
"2012","S01001790","Crime","Quintile",5
"2009","S01001790","Crime","Quintile",5
"2012","S01001790","SIMD","Quintile",5
"2012","S01001790","Access To Services","Quintile",1
"2009","S01001790","Access To Services","Quintile",2
"2012","S01001790","Employment","Quintile",5
"2006","S01001790","Crime","Quintile",5
"2006","S01001790","Access To Services","Quintile",1
"2004","S01001790","Access To Services","Quintile",1
"2004","S01001790","Housing","Quintile",5
"2012","S01001791","Access To Services","Rank",991
"2006","S01001791","Health","Rank",6452
"2009","S01001791","Employment","Rank",5626
"2012","S01001791","Health","Rank",6334
"2006","S01001791","SIMD","Rank",5820
"2006","S01001791","Crime","Rank",5495
"2004","S01001791","Employment","Rank",6314
"2012","S01001791","Crime","Rank",6487
"2004","S01001791","Access To Services","Rank",479
"2009","S01001791","Health","Rank",6346
"2012","S01001791","Income","Rank",5535
"2004","S01001791","Health","Rank",6438
"2004","S01001791","Income","Rank",6210
"2004","S01001791","SIMD","Rank",5648
"2012","S01001791","Education Skills And Training","Rank",5988
"2009","S01001791","Access To Services","Rank",1124
"2006","S01001791","Income","Rank",5865
"2012","S01001791","Employment","Rank",5797
"2006","S01001791","Housing","Rank",5704
"2012","S01001791","Housing","Rank",5704
"2006","S01001791","Employment","Rank",5824
"2009","S01001791","Crime","Rank",5621
"2006","S01001791","Access To Services","Rank",1082
"2009","S01001791","Education Skills And Training","Rank",6292
"2012","S01001791","SIMD","Rank",5686
"2004","S01001791","Education Skills And Training","Rank",5914
"2009","S01001791","SIMD","Rank",5701
"2009","S01001791","Income","Rank",5612
"2009","S01001791","Housing","Rank",5704
"2006","S01001791","Education Skills And Training","Rank",5996
"2004","S01001791","Housing","Rank",5704
"2006","S01001791","SIMD","Decile",9
"2012","S01001791","Education Skills And Training","Decile",10
"2004","S01001791","Access To Services","Decile",1
"2006","S01001791","Access To Services","Decile",2
"2012","S01001791","Crime","Decile",10
"2009","S01001791","SIMD","Decile",9
"2009","S01001791","Access To Services","Decile",2
"2009","S01001791","Crime","Decile",9
"2012","S01001791","Access To Services","Decile",2
"2006","S01001791","Crime","Decile",9
"2012","S01001791","Employment","Decile",9
"2004","S01001791","Employment","Decile",10
"2006","S01001791","Employment","Decile",9
"2012","S01001791","SIMD","Decile",9
"2004","S01001791","SIMD","Decile",9
"2009","S01001791","Employment","Decile",9
"2012","S01001791","Health","Decile",10
"2004","S01001791","Education Skills And Training","Decile",10
"2006","S01001791","Health","Decile",10
"2006","S01001791","Education Skills And Training","Decile",10
"2009","S01001791","Health","Decile",10
"2009","S01001791","Education Skills And Training","Decile",10
"2004","S01001791","Health","Decile",10
"2006","S01001791","Income","Decile",10
"2004","S01001791","Housing","Decile",9
"2012","S01001791","Housing","Decile",9
"2004","S01001791","Income","Decile",10
"2012","S01001791","Income","Decile",9
"2009","S01001791","Housing","Decile",9
"2006","S01001791","Housing","Decile",9
"2009","S01001791","Income","Decile",9
"2009","S01001791","Education Skills And Training","Vigintile",20
"2012","S01001791","Education Skills And Training","Vigintile",19
"2006","S01001791","Education Skills And Training","Vigintile",19
"2004","S01001791","Education Skills And Training","Vigintile",19
"2009","S01001791","Employment","Vigintile",18
"2004","S01001791","Employment","Vigintile",20
"2006","S01001791","Employment","Vigintile",18
"2012","S01001791","Employment","Vigintile",18
"2004","S01001791","Health","Vigintile",20
"2012","S01001791","Health","Vigintile",20
"2006","S01001791","Health","Vigintile",20
"2009","S01001791","Health","Vigintile",20
"2012","S01001791","Housing","Vigintile",18
"2004","S01001791","Housing","Vigintile",18
"2006","S01001791","Housing","Vigintile",18
"2009","S01001791","Housing","Vigintile",18
"2004","S01001791","Access To Services","Vigintile",2
"2006","S01001791","Access To Services","Vigintile",4
"2009","S01001791","Access To Services","Vigintile",4
"2012","S01001791","Access To Services","Vigintile",4
"2006","S01001791","Crime","Vigintile",17
"2012","S01001791","Crime","Vigintile",20
"2009","S01001791","Crime","Vigintile",18
"2009","S01001791","Income","Vigintile",18
"2006","S01001791","Income","Vigintile",19
"2012","S01001791","Income","Vigintile",18
"2004","S01001791","Income","Vigintile",20
"2012","S01001791","SIMD","Vigintile",18
"2006","S01001791","SIMD","Vigintile",18
"2004","S01001791","SIMD","Vigintile",18
"2009","S01001791","SIMD","Vigintile",18
"2012","S01001791","Housing","Quintile",5
"2004","S01001791","Employment","Quintile",5
"2009","S01001791","Income","Quintile",5
"2006","S01001791","Income","Quintile",5
"2012","S01001791","Income","Quintile",5
"2006","S01001791","Housing","Quintile",5
"2004","S01001791","Income","Quintile",5
"2009","S01001791","Housing","Quintile",5
"2006","S01001791","Health","Quintile",5
"2012","S01001791","Education Skills And Training","Quintile",5
"2004","S01001791","Health","Quintile",5
"2004","S01001791","Education Skills And Training","Quintile",5
"2009","S01001791","Education Skills And Training","Quintile",5
"2012","S01001791","Health","Quintile",5
"2009","S01001791","Health","Quintile",5
"2006","S01001791","Employment","Quintile",5
"2009","S01001791","SIMD","Quintile",5
"2006","S01001791","Education Skills And Training","Quintile",5
"2004","S01001791","SIMD","Quintile",5
"2009","S01001791","Employment","Quintile",5
"2006","S01001791","SIMD","Quintile",5
"2012","S01001791","Crime","Quintile",5
"2009","S01001791","Crime","Quintile",5
"2012","S01001791","SIMD","Quintile",5
"2012","S01001791","Access To Services","Quintile",1
"2009","S01001791","Access To Services","Quintile",1
"2012","S01001791","Employment","Quintile",5
"2006","S01001791","Crime","Quintile",5
"2006","S01001791","Access To Services","Quintile",1
"2004","S01001791","Access To Services","Quintile",1
"2004","S01001791","Housing","Quintile",5
"2012","S01001792","Access To Services","Rank",4933
"2006","S01001792","Health","Rank",4936
"2009","S01001792","Employment","Rank",4113
"2012","S01001792","Health","Rank",4806
"2006","S01001792","SIMD","Rank",5658
"2006","S01001792","Crime","Rank",5329
"2004","S01001792","Employment","Rank",5131
"2012","S01001792","Crime","Rank",4748
"2004","S01001792","Access To Services","Rank",1909
"2009","S01001792","Health","Rank",5045
"2012","S01001792","Income","Rank",4882
"2004","S01001792","Health","Rank",4277
"2004","S01001792","Income","Rank",4936
"2004","S01001792","SIMD","Rank",5185
"2012","S01001792","Education Skills And Training","Rank",5803
"2009","S01001792","Access To Services","Rank",4466
"2006","S01001792","Income","Rank",4998
"2012","S01001792","Employment","Rank",4552
"2006","S01001792","Housing","Rank",5457
"2012","S01001792","Housing","Rank",5457
"2006","S01001792","Employment","Rank",4933
"2009","S01001792","Crime","Rank",5656
"2006","S01001792","Access To Services","Rank",4068
"2009","S01001792","Education Skills And Training","Rank",5649
"2012","S01001792","SIMD","Rank",5579
"2004","S01001792","Education Skills And Training","Rank",5691
"2009","S01001792","SIMD","Rank",5240
"2009","S01001792","Income","Rank",4422
"2009","S01001792","Housing","Rank",5457
"2006","S01001792","Education Skills And Training","Rank",5577
"2004","S01001792","Housing","Rank",5457
"2006","S01001792","SIMD","Decile",9
"2012","S01001792","Education Skills And Training","Decile",9
"2004","S01001792","Access To Services","Decile",3
"2006","S01001792","Access To Services","Decile",7
"2012","S01001792","Crime","Decile",8
"2009","S01001792","SIMD","Decile",9
"2009","S01001792","Access To Services","Decile",7
"2009","S01001792","Crime","Decile",9
"2012","S01001792","Access To Services","Decile",8
"2006","S01001792","Crime","Decile",9
"2012","S01001792","Employment","Decile",7
"2004","S01001792","Employment","Decile",8
"2006","S01001792","Employment","Decile",8
"2012","S01001792","SIMD","Decile",9
"2004","S01001792","SIMD","Decile",8
"2009","S01001792","Employment","Decile",7
"2012","S01001792","Health","Decile",8
"2004","S01001792","Education Skills And Training","Decile",9
"2006","S01001792","Health","Decile",8
"2006","S01001792","Education Skills And Training","Decile",9
"2009","S01001792","Health","Decile",8
"2009","S01001792","Education Skills And Training","Decile",9
"2004","S01001792","Health","Decile",7
"2006","S01001792","Income","Decile",8
"2004","S01001792","Housing","Decile",9
"2012","S01001792","Housing","Decile",9
"2004","S01001792","Income","Decile",8
"2012","S01001792","Income","Decile",8
"2009","S01001792","Housing","Decile",9
"2006","S01001792","Housing","Decile",9
"2009","S01001792","Income","Decile",7
"2009","S01001792","Education Skills And Training","Vigintile",18
"2012","S01001792","Education Skills And Training","Vigintile",18
"2006","S01001792","Education Skills And Training","Vigintile",18
"2004","S01001792","Education Skills And Training","Vigintile",18
"2009","S01001792","Employment","Vigintile",13
"2004","S01001792","Employment","Vigintile",16
"2006","S01001792","Employment","Vigintile",16
"2012","S01001792","Employment","Vigintile",14
"2004","S01001792","Health","Vigintile",14
"2012","S01001792","Health","Vigintile",15
"2006","S01001792","Health","Vigintile",16
"2009","S01001792","Health","Vigintile",16
"2012","S01001792","Housing","Vigintile",17
"2004","S01001792","Housing","Vigintile",17
"2006","S01001792","Housing","Vigintile",17
"2009","S01001792","Housing","Vigintile",17
"2004","S01001792","Access To Services","Vigintile",6
"2006","S01001792","Access To Services","Vigintile",13
"2009","S01001792","Access To Services","Vigintile",14
"2012","S01001792","Access To Services","Vigintile",16
"2006","S01001792","Crime","Vigintile",17
"2012","S01001792","Crime","Vigintile",15
"2009","S01001792","Crime","Vigintile",18
"2009","S01001792","Income","Vigintile",14
"2006","S01001792","Income","Vigintile",16
"2012","S01001792","Income","Vigintile",16
"2004","S01001792","Income","Vigintile",16
"2012","S01001792","SIMD","Vigintile",18
"2006","S01001792","SIMD","Vigintile",18
"2004","S01001792","SIMD","Vigintile",16
"2009","S01001792","SIMD","Vigintile",17
"2012","S01001792","Housing","Quintile",5
"2004","S01001792","Employment","Quintile",4
"2009","S01001792","Income","Quintile",4
"2006","S01001792","Income","Quintile",4
"2012","S01001792","Income","Quintile",4
"2006","S01001792","Housing","Quintile",5
"2004","S01001792","Income","Quintile",4
"2009","S01001792","Housing","Quintile",5
"2006","S01001792","Health","Quintile",4
"2012","S01001792","Education Skills And Training","Quintile",5
"2004","S01001792","Health","Quintile",4
"2004","S01001792","Education Skills And Training","Quintile",5
"2009","S01001792","Education Skills And Training","Quintile",5
"2012","S01001792","Health","Quintile",4
"2009","S01001792","Health","Quintile",4
"2006","S01001792","Employment","Quintile",4
"2009","S01001792","SIMD","Quintile",5
"2006","S01001792","Education Skills And Training","Quintile",5
"2004","S01001792","SIMD","Quintile",4
"2009","S01001792","Employment","Quintile",4
"2006","S01001792","SIMD","Quintile",5
"2012","S01001792","Crime","Quintile",4
"2009","S01001792","Crime","Quintile",5
"2012","S01001792","SIMD","Quintile",5
"2012","S01001792","Access To Services","Quintile",4
"2009","S01001792","Access To Services","Quintile",4
"2012","S01001792","Employment","Quintile",4
"2006","S01001792","Crime","Quintile",5
"2006","S01001792","Access To Services","Quintile",4
"2004","S01001792","Access To Services","Quintile",2
"2004","S01001792","Housing","Quintile",5
"2012","S01001793","Access To Services","Rank",4336
"2006","S01001793","Health","Rank",4495
"2009","S01001793","Employment","Rank",4956
"2012","S01001793","Health","Rank",3741
"2006","S01001793","SIMD","Rank",5198
"2006","S01001793","Crime","Rank",2392
"2004","S01001793","Employment","Rank",5115
"2012","S01001793","Crime","Rank",3575
"2004","S01001793","Access To Services","Rank",830
"2009","S01001793","Health","Rank",3962
"2012","S01001793","Income","Rank",5077
"2004","S01001793","Health","Rank",5310
"2004","S01001793","Income","Rank",4530
"2004","S01001793","SIMD","Rank",4786
"2012","S01001793","Education Skills And Training","Rank",5695
"2009","S01001793","Access To Services","Rank",4071
"2006","S01001793","Income","Rank",4703
"2012","S01001793","Employment","Rank",4404
"2006","S01001793","Housing","Rank",4274
"2012","S01001793","Housing","Rank",4274
"2006","S01001793","Employment","Rank",5007
"2009","S01001793","Crime","Rank",3666
"2006","S01001793","Access To Services","Rank",3475
"2009","S01001793","Education Skills And Training","Rank",5590
"2012","S01001793","SIMD","Rank",5210
"2004","S01001793","Education Skills And Training","Rank",5871
"2009","S01001793","SIMD","Rank",5162
"2009","S01001793","Income","Rank",4451
"2009","S01001793","Housing","Rank",4274
"2006","S01001793","Education Skills And Training","Rank",5951
"2004","S01001793","Housing","Rank",4274
"2006","S01001793","SIMD","Decile",8
"2012","S01001793","Education Skills And Training","Decile",9
"2004","S01001793","Access To Services","Decile",2
"2006","S01001793","Access To Services","Decile",6
"2012","S01001793","Crime","Decile",6
"2009","S01001793","SIMD","Decile",8
"2009","S01001793","Access To Services","Decile",7
"2009","S01001793","Crime","Decile",6
"2012","S01001793","Access To Services","Decile",7
"2006","S01001793","Crime","Decile",4
"2012","S01001793","Employment","Decile",7
"2004","S01001793","Employment","Decile",8
"2006","S01001793","Employment","Decile",8
"2012","S01001793","SIMD","Decile",9
"2004","S01001793","SIMD","Decile",8
"2009","S01001793","Employment","Decile",8
"2012","S01001793","Health","Decile",6
"2004","S01001793","Education Skills And Training","Decile",10
"2006","S01001793","Health","Decile",7
"2006","S01001793","Education Skills And Training","Decile",10
"2009","S01001793","Health","Decile",7
"2009","S01001793","Education Skills And Training","Decile",9
"2004","S01001793","Health","Decile",9
"2006","S01001793","Income","Decile",8
"2004","S01001793","Housing","Decile",7
"2012","S01001793","Housing","Decile",7
"2004","S01001793","Income","Decile",7
"2012","S01001793","Income","Decile",8
"2009","S01001793","Housing","Decile",7
"2006","S01001793","Housing","Decile",7
"2009","S01001793","Income","Decile",7
"2009","S01001793","Education Skills And Training","Vigintile",18
"2012","S01001793","Education Skills And Training","Vigintile",18
"2006","S01001793","Education Skills And Training","Vigintile",19
"2004","S01001793","Education Skills And Training","Vigintile",19
"2009","S01001793","Employment","Vigintile",16
"2004","S01001793","Employment","Vigintile",16
"2006","S01001793","Employment","Vigintile",16
"2012","S01001793","Employment","Vigintile",14
"2004","S01001793","Health","Vigintile",17
"2012","S01001793","Health","Vigintile",12
"2006","S01001793","Health","Vigintile",14
"2009","S01001793","Health","Vigintile",13
"2012","S01001793","Housing","Vigintile",14
"2004","S01001793","Housing","Vigintile",14
"2006","S01001793","Housing","Vigintile",14
"2009","S01001793","Housing","Vigintile",14
"2004","S01001793","Access To Services","Vigintile",3
"2006","S01001793","Access To Services","Vigintile",11
"2009","S01001793","Access To Services","Vigintile",13
"2012","S01001793","Access To Services","Vigintile",14
"2006","S01001793","Crime","Vigintile",8
"2012","S01001793","Crime","Vigintile",11
"2009","S01001793","Crime","Vigintile",12
"2009","S01001793","Income","Vigintile",14
"2006","S01001793","Income","Vigintile",15
"2012","S01001793","Income","Vigintile",16
"2004","S01001793","Income","Vigintile",14
"2012","S01001793","SIMD","Vigintile",17
"2006","S01001793","SIMD","Vigintile",16
"2004","S01001793","SIMD","Vigintile",15
"2009","S01001793","SIMD","Vigintile",16
"2012","S01001793","Housing","Quintile",4
"2004","S01001793","Employment","Quintile",4
"2009","S01001793","Income","Quintile",4
"2006","S01001793","Income","Quintile",4
"2012","S01001793","Income","Quintile",4
"2006","S01001793","Housing","Quintile",4
"2004","S01001793","Income","Quintile",4
"2009","S01001793","Housing","Quintile",4
"2006","S01001793","Health","Quintile",4
"2012","S01001793","Education Skills And Training","Quintile",5
"2004","S01001793","Health","Quintile",5
"2004","S01001793","Education Skills And Training","Quintile",5
"2009","S01001793","Education Skills And Training","Quintile",5
"2012","S01001793","Health","Quintile",3
"2009","S01001793","Health","Quintile",4
"2006","S01001793","Employment","Quintile",4
"2009","S01001793","SIMD","Quintile",4
"2006","S01001793","Education Skills And Training","Quintile",5
"2004","S01001793","SIMD","Quintile",4
"2009","S01001793","Employment","Quintile",4
"2006","S01001793","SIMD","Quintile",4
"2012","S01001793","Crime","Quintile",3
"2009","S01001793","Crime","Quintile",3
"2012","S01001793","SIMD","Quintile",5
"2012","S01001793","Access To Services","Quintile",4
"2009","S01001793","Access To Services","Quintile",4
"2012","S01001793","Employment","Quintile",4
"2006","S01001793","Crime","Quintile",2
"2006","S01001793","Access To Services","Quintile",3
"2004","S01001793","Access To Services","Quintile",1
"2004","S01001793","Housing","Quintile",4
"2012","S01001794","Access To Services","Rank",4695
"2006","S01001794","Health","Rank",5528
"2009","S01001794","Employment","Rank",4421
"2012","S01001794","Health","Rank",3573
"2006","S01001794","SIMD","Rank",5453
"2006","S01001794","Crime","Rank",3892
"2004","S01001794","Employment","Rank",5537
"2012","S01001794","Crime","Rank",5362
"2004","S01001794","Access To Services","Rank",2284
"2009","S01001794","Health","Rank",4809
"2012","S01001794","Income","Rank",4276
"2004","S01001794","Health","Rank",6169
"2004","S01001794","Income","Rank",4339
"2004","S01001794","SIMD","Rank",5398
"2012","S01001794","Education Skills And Training","Rank",5554
"2009","S01001794","Access To Services","Rank",4749
"2006","S01001794","Income","Rank",4582
"2012","S01001794","Employment","Rank",4883
"2006","S01001794","Housing","Rank",4328
"2012","S01001794","Housing","Rank",4328
"2006","S01001794","Employment","Rank",4893
"2009","S01001794","Crime","Rank",4523
"2006","S01001794","Access To Services","Rank",4270
"2009","S01001794","Education Skills And Training","Rank",5561
"2012","S01001794","SIMD","Rank",5201
"2004","S01001794","Education Skills And Training","Rank",5597
"2009","S01001794","SIMD","Rank",5211
"2009","S01001794","Income","Rank",4324
"2009","S01001794","Housing","Rank",4328
"2006","S01001794","Education Skills And Training","Rank",5260
"2004","S01001794","Housing","Rank",4328
"2006","S01001794","SIMD","Decile",9
